# Lieux ajoutés à la main.
#
# Le pipeline rate ce que Wikidata classe mal, et ce qu'il documente peu alors
# qu'on vient de loin le visiter. Ces lieux passent outre le plancher de
# notoriété et prennent le thème indiqué ici.
#
# Pour trouver un identifiant : python -m roam_pipeline suggest-qids "jardins de Giverny"
#
# Quand ÉPINGLER plutôt qu'ajouter une classe au thème ? `probe` tranche : il
# donne les classes déclarées d'une entité. Si l'une d'elles nomme une sorte de
# monument — « hôtel de ville », « colonne de la victoire », « opéra » — elle va
# dans `themes.yaml` et ramène toute la France avec elle. Si elle ne nomme qu'un
# CONTENANT ou une ORGANISATION, elle vient ici, une ligne à la fois.
#
# Les quatre derniers en sont l'exemple. L'hôtel des Invalides est un « complexe
# immobilier », le Grand Palais un « palais des congrès », la Conciergerie une
# « prison » et un « tribunal », l'Institut de France une « société savante ».
# Collecter ces classes ramènerait les centres commerciaux, les palais des
# congrès de province, toutes les prisons et tous les tribunaux de France pour
# quatre monuments parisiens. `probe` le dit lui-même sur chacun : « Remède :
# l'inscrire dans data/manual/places.csv ».
wikidata_id,theme_id,note
Q3533474,megalithes,tour de Vésone à Périgueux — la fiche « Vesunna » porte les coordonnées du musée
Q1139060,sommets,telepherique  observatoire
Q6650,sommets,randonnee tres frequentee
Q404728,sommets,acces par telepherique
Q1293678,forets,Foret d Exception ONF — classe « foret » Q4421, hors portee du theme
Q3078803,forets,Foret d Exception ONF — classe « foret » Q4421, hors portee du theme
Q3078997,forets,Foret d Exception ONF — classe « foret » Q4421, hors portee du theme
Q3079009,forets,Foret d Exception ONF — classe « foret » Q4421, hors portee du theme
Q49329134,forets,Foret d Exception ONF — classe « foret » Q4421, hors portee du theme
Q2911447,forets,Foret d Exception ONF — classe « foret » Q4421, hors portee du theme
Q3078859,forets,Foret d Exception ONF — classe « foret » Q4421, hors portee du theme
Q188977,monuments,hotel des Invalides — classe « complexe immobilier » Q1497364, trop generique pour un theme
Q457318,monuments,Grand Palais — classes « palais des congres » et « espace evenementiel », trop generiques
Q138101,monuments,Conciergerie de Paris — classes « prison » et « tribunal », impossibles a collecter en masse
Q377066,monuments,Institut de France — classe « societe savante », une organisation et non un lieu
Q151030,monuments,Moulin-Rouge — classes « cabaret » et « salle de concert », refusees comme themes
Q15063077,monuments,Axe Majeur de Cergy — classe « œuvre d'art » Q838948, qu'aucun thème ne déclare : la collecte ne pouvait pas le voir
Q3232046,monuments,Les Deux Plateaux — classes « installation » Q20437094, « fontaine » et « œuvre d'art » : aucun thème ne les déclare
Q3554061,monuments,Vallée des Saints à Carnoët — classes « statue » Q179700 et « monument » Q4989906, trop génériques pour être collectées
Q1820547,musees,Les Machines de l'île à Nantes — classe « espace d'exposition » Q18123390 ; on y entre avec un billet pour voir une collection, et la barre de « monuments » la condamnait à une étoile
Q638250,monuments,Chapelle de Ronchamp — classes « chapelle » Q108325 et « église » Q16970 ; `cathedrales` ne prend que les édifices à TITRE, décision assumée dont elle est la victime
Q2587975,monuments,Cité radieuse de Marseille — classes « immeuble d'habitation » Q13402009 et « habitat collectif », inexploitables comme thèmes
Q1395337,musees,Familistère de Guise — classe « phalanstère » Q204767 ; rangé en musées non par sa classe mais par sa visite, qui se fait au billet
Q1741383,dunes-marais,Baie de Somme — classes « paysage culturel » Q1129474, « baie » et « estuaire », aucune déclarée par un thème ; Grand Site de France sans représentant jusqu'ici
Q51300191,monuments,Village martyr d'Oradour-sur-Glane — classes « bourg » Q26714626 et « village » ; PAS dans le thème villages, qui est celui des villages de caractère
Q481647,musees,Camp des Milles à Aix-en-Provence — classe « camp de concentration » Q152081 ; rangé en musées par le mode de VISITE, une exposition dans l'ancienne tuilerie
Q2943295,musees,Caverne du Dragon au Chemin des Dames — classe « carrière » Q188040 ; ni grottes (cavité creusée de main d'homme) ni monuments : elle EST le musée du Chemin des Dames
Q112911610,musees,Lascaux IV a Montignac — classes « réplique de grotte » Q112911410 et « musée » ; une seule langue, très en dessous du plancher, alors que c'est CE qu'on visite depuis 2016
Q112242217,musees,Cosquer Méditerranée à Marseille — même cas : la grotte Cosquer est sous la mer et fermée, la réplique ouverte depuis 2022
